S2_B4,S2_B5,S2_B6,S2_B7,S2_B8,L8_B4,L8_B5,L8_B6,L8_B7,Year,Month,Predicted Soil Moisture
0.3158,0.3452,0.3476,0.3612,0.348,0.099008,0.291081,0.25078,0.168995,2020,6,0.10801165
0.2066,0.2299,0.2431,0.2546,0.2618,0.222221,0.278885,0.326089,0.293859,2020,3,0.100826144
0.17895,0.2141,0.25065,0.27355,0.28785,0.157528,0.289156,0.335233,0.279889,2021,3,0.08243474
0.2828,0.3082,0.3094,0.3238,0.3342,0.26123,0.330874,0.42535,0.385021,2019,4,0.07814309
0.1219,0.1759,0.2598,0.2894,0.2918,0.116663,0.325965,0.287933,0.199108,2020,9,0.1524413
0.28965,0.3183,0.3254,0.3374,0.3449,0.266373,0.324838,0.390095,0.362898,2022,4,0.05622445
0.1582,0.197,0.23935,0.26185,0.26885,0.124926,0.271061,0.270965,0.209049,2023,3,0.096039265
0.10235,0.15885,0.34405,0.42205,0.42365,0.080679,0.399184,0.218949,0.138223,2023,4,0.07715313
0.3208,0.33695,0.32785,0.33285,0.34605,0.732938,0.757358,0.569093,0.473393,2021,1,0.113270335
0.21275,0.26555,0.3499,0.39125,0.38655,0.237388,0.32294,0.359598,0.311913,2021,6,0.09965417
